galleryFee,artistFee,sellerFee,sale,timestamp,galleryPerc,artistPerc,sellerPerc
0.01293204,0.0431068,0.3879612,0.44400004,1594422827,2.91,9.71,87.38
0.090009,0.30003,2.70027,3.090309,1594424410,2.91,9.71,87.38
0.18,0.6,5.4,6.18,1594471909,2.91,9.71,87.38
0.0291,0.097,0.873,0.9991,1594478106,2.91,9.71,87.38
0.063,0.21,1.89,2.163,1594482842,2.91,9.71,87.38
0.1035,0.345,3.105,3.5534999999999997,1594486712,2.91,9.71,87.38
0.0165,0.055,0.495,0.5665,1594495463,2.91,9.71,87.38
0.0291,0.097,0.873,0.9991,1594513334,2.91,9.71,87.38
0.05825244,0.1941748,1.7475732,2.00000044,1594571452,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1594593447,2.91,9.71,87.38
0.00705,0.0235,0.2115,0.24205,1594604538,2.91,9.71,87.38
0.072,0.24,2.16,2.4720000000000004,1594637968,2.91,9.71,87.38
0.04083,0.1361,1.2249,1.40183,1594639626,2.91,9.71,87.38
0.04083,0.1361,1.2249,1.40183,1594639736,2.91,9.71,87.38
0.072,0.24,2.16,2.4720000000000004,1594639794,2.91,9.71,87.38
0.04083,0.1361,1.2249,1.40183,1594639824,2.91,9.71,87.38
0.02775,0.0925,0.8325,0.9527500000000001,1594640950,2.91,9.71,87.38
0.066,0.22,1.98,2.266,1594643176,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1594662909,2.91,9.71,87.38
0.0039,0.013,0.117,0.13390000000000002,1594698206,2.91,9.71,87.38
0.01019418,0.0339806,0.3058254,0.35000018,1594705912,2.91,9.71,87.38
0.048,0.16,1.44,1.648,1594728274,2.91,9.71,87.38
0.048,0.16,1.44,1.648,1594733788,2.91,9.71,87.38
0.45,1.5,13.5,15.45,1594750429,2.91,9.71,87.38
1.05,3.5,31.5,36.05,1594752902,2.91,9.71,87.38
0.012,0.04,0.36,0.412,1594764709,2.91,9.71,87.38
0.02085,0.0695,0.6255,0.71585,1594831669,2.91,9.71,87.38
0.0203883495144,0.067961165048,0.611650485432,0.6999999999944,1594893106,2.91,9.71,87.38
0.02175,0.0725,0.6525,0.74675,1594919912,2.91,9.71,87.38
0.01425,0.0475,0.4275,0.48924999999999996,1594929442,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1595000311,2.91,9.71,87.38
0.05805,0.1935,1.7415,1.99305,1595008792,2.91,9.71,87.38
0.0357,0.119,1.071,1.2257,1595011766,2.91,9.71,87.38
0.15,0.5,4.5,5.15,1595014669,2.91,9.71,87.38
0.02175,0.0725,0.6525,0.74675,1595032659,2.91,9.71,87.38
0.0087,0.029,0.261,0.2987,1595071380,2.91,9.71,87.38
0.0087,0.029,0.261,0.2987,1595074450,2.91,9.71,87.38
0.01165048543689321,0.0388349514563107,0.3495145631067963,0.40000000000000024,1595093479,2.91,9.71,87.38
0.0045,0.015,0.135,0.15450000000000003,1595094698,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1595103450,2.91,9.71,87.38
0.02175,0.0725,0.6525,0.74675,1595106261,2.91,9.71,87.38
0.01456310679611652,0.0485436893203884,0.4368932038834956,0.5000000000000006,1595111697,2.91,9.71,87.38
0.021,0.07,0.63,0.7210000000000001,1595157532,2.91,9.71,87.38
0.01019417475728154,0.0339805825242718,0.3058252427184462,0.34999999999999953,1595197036,2.91,9.71,87.38
0.0375,0.125,1.125,1.2875,1595197750,2.91,9.71,87.38
0.011538,0.03846,0.34614,0.396138,1595289247,2.91,9.71,87.38
0.0675,0.225,2.025,2.3175,1595318714,2.91,9.71,87.38
0.45,1.5,13.5,15.45,1595448104,2.91,9.71,87.38
0.0195,0.065,0.585,0.6695,1595450624,2.91,9.71,87.38
0.01019417475728154,0.0339805825242718,0.3058252427184462,0.34999999999999953,1595526947,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1595539537,2.91,9.71,87.38
0.01125,0.0375,0.3375,0.38625,1595563573,2.91,9.71,87.38
0.0111,0.037,0.333,0.3811,1595597690,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1595633423,2.91,9.71,87.38
0.0087,0.029,0.261,0.2987,1595640148,2.91,9.71,87.38
0.0045,0.015,0.135,0.15450000000000003,1595738343,2.91,9.71,87.38
0.02775,0.0925,0.8325,0.9527500000000001,1595744869,2.91,9.71,87.38
0.0087378640776699,0.029126213592233,0.262135922330097,0.29999999999999993,1595751500,2.91,9.71,87.38
0.02745,0.0915,0.8235,0.94245,1595759225,2.91,9.71,87.38
0.027375,0.09125,0.82125,0.939875,1595797687,2.91,9.71,87.38
0.7242207789833781,2.414069263277927,21.726623369501343,24.864913411762647,1595834819,2.91,9.71,87.38
1.2975600982346958,4.325200327448986,38.92680294704087,44.54956337272455,1595842776,2.91,9.71,87.38
0.099,0.33,2.97,3.3990000000000005,1595863977,2.91,9.71,87.38
0.018,0.06,0.54,0.6180000000000001,1595907136,2.91,9.71,87.38
0.06,0.2,1.8,2.06,1595935298,2.91,9.71,87.38
0.043686,0.14562,1.31058,1.499886,1595945806,2.91,9.71,87.38
0.024,0.08,0.72,0.824,1595977014,2.91,9.71,87.38
0.45,1.5,13.5,15.45,1595996990,2.91,9.71,87.38
0.01152,0.0384,0.3456,0.39552,1596022410,2.91,9.71,87.38
0.01152,0.0384,0.3456,0.39552,1596029175,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1596037941,2.91,9.71,87.38
0.0045,0.015,0.135,0.15450000000000003,1596039615,2.91,9.71,87.38
0.012,0.04,0.36,0.412,1596087757,2.91,9.71,87.38
0.147,0.49,4.41,5.047000000000001,1596136035,2.91,9.71,87.38
0.45,1.5,13.5,15.45,1596384242,2.91,9.71,87.38
0.45,1.5,13.5,15.45,1596488356,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1596494265,2.91,9.71,87.38
0.024,0.08,0.72,0.824,1596517610,2.91,9.71,87.38
0.00582,0.0194,0.1746,0.19982,1596518093,2.91,9.71,87.38
0.0057,0.019,0.171,0.1957,1596520928,2.91,9.71,87.38
0.0057,0.019,0.171,0.1957,1596520928,2.91,9.71,87.38
0.6,2.0,18.0,20.6,1596523370,2.91,9.71,87.38
0.72,2.4,21.6,24.72,1596523370,2.91,9.71,87.38
0.01165048543689321,0.0388349514563107,0.3495145631067963,0.40000000000000024,1596556038,2.91,9.71,87.38
0.01365,0.0455,0.4095,0.46864999999999996,1596556080,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1596569218,2.91,9.71,87.38
0.249,0.83,7.47,8.549,1596572032,2.91,9.71,87.38
0.00435,0.0145,0.1305,0.14935,1596572220,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1596578964,2.91,9.71,87.38
0.15,0.5,4.5,5.15,1596597349,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1596646176,2.91,9.71,87.38
0.075,0.25,2.25,2.575,1596651164,2.91,9.71,87.38
0.01995,0.0665,0.5985,0.6849500000000001,1596668132,2.91,9.71,87.38
0.01995,0.0665,0.5985,0.6849500000000001,1596671596,2.91,9.71,87.38
0.093,0.31,2.79,3.193,1596681270,2.91,9.71,87.38
0.066,0.22,1.98,2.266,1596749521,2.91,9.71,87.38
0.02235,0.0745,0.6705,0.76735,1596834762,2.91,9.71,87.38
0.018,0.06,0.54,0.6180000000000001,1596845015,2.91,9.71,87.38
0.02025,0.0675,0.6075,0.69525,1596862068,2.91,9.71,87.38
0.02025,0.0675,0.6075,0.69525,1596862092,2.91,9.71,87.38
0.01995,0.0665,0.5985,0.6849500000000001,1596862100,2.91,9.71,87.38
0.02025,0.0675,0.6075,0.69525,1596862113,2.91,9.71,87.38
0.02025,0.0675,0.6075,0.69525,1596862151,2.91,9.71,87.38
0.01995,0.0665,0.5985,0.6849500000000001,1596862151,2.91,9.71,87.38
0.01995,0.0665,0.5985,0.6849500000000001,1596862151,2.91,9.71,87.38
0.0261,0.087,0.783,0.8961,1596862197,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1596950031,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1597014538,2.91,9.71,87.38
0.0349515,0.116505,1.048545,1.2000015000000002,1597026447,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1597036098,2.91,9.71,87.38
0.075,0.25,2.25,2.575,1597083034,2.91,9.71,87.38
0.039,0.13,1.17,1.339,1597127357,2.91,9.71,87.38
0.04011,0.1337,1.2033,1.37711,1597165012,2.91,9.71,87.38
0.6,2.0,18.0,20.6,1597187616,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1597231672,2.91,9.71,87.38
0.0105,0.035,0.315,0.36050000000000004,1597302703,2.91,9.71,87.38
0.0375,0.125,1.125,1.2875,1597306304,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1597338685,2.91,9.71,87.38
0.15,0.5,4.5,5.15,1597344613,2.91,9.71,87.38
0.12,0.4,3.6,4.12,1597346155,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1597367651,2.91,9.71,87.38
0.15,0.5,4.5,5.15,1597390236,2.91,9.71,87.38
0.0372,0.124,1.116,1.2772000000000001,1597432690,2.91,9.71,87.38
0.0582524271844659,0.194174757281553,1.747572815533977,1.999999999999996,1597517606,2.91,9.71,87.38
0.00645,0.0215,0.1935,0.22145,1597532452,2.91,9.71,87.38
0.012,0.04,0.36,0.412,1597577065,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1597616266,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1597669895,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1597700366,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1597700383,2.91,9.71,87.38
0.01905,0.0635,0.5715,0.65405,1597722677,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1597787491,2.91,9.71,87.38
0.00375,0.0125,0.1125,0.12875,1597802836,2.91,9.71,87.38
0.048,0.16,1.44,1.648,1597821176,2.91,9.71,87.38
0.00045,0.0015,0.0135,0.01545,1597821480,2.91,9.71,87.38
0.024,0.08,0.72,0.824,1597842891,2.91,9.71,87.38
0.003,0.01,0.09,0.103,1597857379,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1597943609,2.91,9.71,87.38
0.00645,0.0215,0.1935,0.22145,1597952549,2.91,9.71,87.38
0.00735,0.0245,0.2205,0.25235,1597979259,2.91,9.71,87.38
0.05097087,0.1699029,1.5291261,1.7499998700000001,1597998359,2.91,9.71,87.38
0.048204,0.16068,1.44612,1.655004,1598090087,2.91,9.71,87.38
0.048,0.16,1.44,1.648,1598158543,2.91,9.71,87.38
0.00705,0.0235,0.2115,0.24205,1598207184,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1598207855,2.91,9.71,87.38
0.00436893,0.0145631,0.1310679,0.14999992999999998,1598361012,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1598376126,2.91,9.71,87.38
0.12,0.4,3.6,4.12,1598377825,2.91,9.71,87.38
0.0099,0.033,0.297,0.3399,1598412653,2.91,9.71,87.38
0.0036,0.012,0.108,0.1236,1598483650,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1598489287,2.91,9.71,87.38
0.252,0.84,7.56,8.652,1598531696,2.91,9.71,87.38
0.054,0.18,1.62,1.854,1598582307,2.91,9.71,87.38
0.0105,0.035,0.315,0.36050000000000004,1598589320,2.91,9.71,87.38
0.054,0.18,1.62,1.854,1598639963,2.91,9.71,87.38
0.0066,0.022,0.198,0.2266,1598642435,2.91,9.71,87.38
0.0465,0.155,1.395,1.5965,1598646423,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1598648680,2.91,9.71,87.38
0.06,0.2,1.8,2.06,1598668615,2.91,9.71,87.38
0.00453,0.0151,0.1359,0.15553,1598716089,2.91,9.71,87.38
0.006408,0.02136,0.19224,0.22000799999999998,1598723227,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1598732457,2.91,9.71,87.38
0.0165,0.055,0.495,0.5665,1598737118,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1598747343,2.91,9.71,87.38
0.00675,0.0225,0.2025,0.23175,1598800602,2.91,9.71,87.38
